series_id,series_kind,instrument,group,parent_group,label,source_label,definition,display_order
corex:Economy & jobs,corex,Deterministic CorEx issue model,Broad issues · deterministic model,,Economy & jobs,Economy & jobs,"Anchored issue vocabulary: business, economy, prosperity, jobs, industry, workers, unemployment, wages, businesses, labor, growth, employment.",0
corex:Taxes & budget,corex,Deterministic CorEx issue model,Broad issues · deterministic model,,Taxes & budget,Taxes & budget,"Anchored issue vocabulary: tax, revenue, debt, budget, taxes, appropriations, spending, deficit, expenditures, fiscal, cuts, billion.",1
corex:War & military,corex,Deterministic CorEx issue model,Broad issues · deterministic model,,War & military,War & military,"Anchored issue vocabulary: war, military, defense, army, navy, troops, battle, soldiers, force, enemy, armed, ii.",2
corex:Foreign policy,corex,Deterministic CorEx issue model,Broad issues · deterministic model,,Foreign policy,Foreign policy,"Anchored issue vocabulary: foreign, treaty, relations, allies, negotiations, diplomatic, alliance, embassy, countries, policy, domestic, mutual.",3
corex:Immigration,corex,Deterministic CorEx issue model,Broad issues · deterministic model,,Immigration,Immigration,"Anchored issue vocabulary: border, immigration, citizenship, immigrants, aliens, naturalization, illegal, patrol, bona, fide, borders, naturalized.",4
corex:Civil rights & race,corex,Deterministic CorEx issue model,Broad issues · deterministic model,,Civil rights & race,Civil rights & race,"Anchored issue vocabulary: race, slavery, equality, discrimination, negro, emancipation, racial, slave, nebraska, color, slaves, missouri.",5
corex:Health care,corex,Deterministic CorEx issue model,Broad issues · deterministic model,,Health care,Health care,"Anchored issue vocabulary: health, insurance, disease, medicare, doctors, hospitals, patients, medicaid, care, coverage, medical, seniors.",6
corex:Education,corex,Deterministic CorEx issue model,Broad issues · deterministic model,,Education,Education,"Anchored issue vocabulary: education, schools, students, teachers, learning, colleges, school, college, universities, training, math, science.",7
corex:Crime & justice,corex,Deterministic CorEx issue model,Broad issues · deterministic model,,Crime & justice,Crime & justice,"Anchored issue vocabulary: violence, crime, courts, police, drugs, criminals, prison, criminal, drug, enforcement, punishment, streets.",8
corex:Energy & environment,corex,Deterministic CorEx issue model,Broad issues · deterministic model,,Energy & environment,Energy & environment,"Anchored issue vocabulary: oil, environment, climate, coal, conservation, forests, pollution, energy, gas, clean, natural, fuel.",9
corex:Trade & tariffs,corex,Deterministic CorEx issue model,Broad issues · deterministic model,,Trade & tariffs,Trade & tariffs,"Anchored issue vocabulary: trade, commerce, tariff, markets, imports, exports, products, interstate, manufactures, navigation, goods, protective.",10
corex:Agriculture,corex,Deterministic CorEx issue model,Broad issues · deterministic model,,Agriculture,Agriculture,"Anchored issue vocabulary: agriculture, farmers, farm, crops, agricultural, farmer, prices, food, production, wheat, corn, farms.",11
corex:Religion & values,corex,Deterministic CorEx issue model,Broad issues · deterministic model,,Religion & values,Religion & values,"Anchored issue vocabulary: faith, god, moral, church, spiritual, prayer, bless, religious, almighty, religion, pray, grace.",12
corex:Money & banking,corex,Deterministic CorEx issue model,Broad issues · deterministic model,,Money & banking,Money & banking,"Anchored issue vocabulary: bank, currency, gold, inflation, dollar, silver, banking, coinage, banks, circulation, notes, money.",13
corex:Infrastructure,corex,Deterministic CorEx issue model,Broad issues · deterministic model,,Infrastructure,Infrastructure,"Anchored issue vocabulary: railroad, roads, railroads, infrastructure, highways, bridges, vessels, canals, ships, coast, canal, river.",14
corex:Discovered 5,corex,Deterministic CorEx issue model,Broad issues · deterministic model,,Security & peace,Discovered 5,"Anchored issue vocabulary: nations, peace, soviet, nuclear, weapons, freedom, forces, europe, asia, east, aggression, iraq.",15
llm:Neutral Rights & Maritime Depredations,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Foreign Relations & Diplomacy,Neutral Rights & Maritime Depredations,Neutral Rights & Maritime Depredations,Protests against violations of American neutral commerce and the impressment of seamen by European belligerents during the era of the Napoleonic wars.,0
"llm:Treaties, Diplomacy & International Arbitration",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Foreign Relations & Diplomacy,"Treaties, Diplomacy & International Arbitration","Treaties, Diplomacy & International Arbitration","General conduct of foreign intercourse through treaties, conventions, boundary commissions, recognition of new states, and peaceful settlement of disputes by arbitration.",1
"llm:Relations with Spain, Mexico & Territorial Claims",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Foreign Relations & Diplomacy,"Relations with Spain, Mexico & Territorial Claims","Relations with Spain, Mexico & Territorial Claims","Boundary disputes, treaties, spoliation claims, and grievances with Spain and Mexico over Florida, Texas, and other borderlands.",2
llm:Monroe Doctrine & Latin American Policy,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Foreign Relations & Diplomacy,Monroe Doctrine & Latin American Policy,Monroe Doctrine & Latin American Policy,"Assertion of hemispheric primacy and non-interference, sympathy for and relations with Latin American republics, and intervention in the Western Hemisphere.",3
llm:Cold War & Great-Power Rivalry,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Foreign Relations & Diplomacy,Cold War & Great-Power Rivalry,Cold War & Great-Power Rivalry,The global contest with Soviet and Chinese communism and later confrontation and negotiation with great-power rivals and rogue regimes over security and influence.,4
llm:Nuclear Weapons & Arms Control,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Foreign Relations & Diplomacy,Nuclear Weapons & Arms Control,Nuclear Weapons & Arms Control,"The danger of nuclear war and fallout, superpower vulnerability, and efforts to limit or reduce nuclear arms through negotiation and treaties.",5
llm:Middle East & Israel,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Foreign Relations & Diplomacy,Middle East & Israel,Middle East & Israel,"U.S. commitment to Israel's security, the Israeli-Palestinian conflict, and pursuit of Arab-Israeli peace and regional diplomacy.",6
"llm:World Order, Foreign Aid & Democracy Promotion",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Foreign Relations & Diplomacy,"World Order, Foreign Aid & Democracy Promotion","World Order, Foreign Aid & Democracy Promotion","The United Nations and international order, economic assistance to developing nations, and the conviction that America should spread liberty and democracy abroad.",7
"llm:Military Preparedness, Armed Forces & Veterans",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,War & Military Affairs,"Military Preparedness, Armed Forces & Veterans","Military Preparedness, Armed Forces & Veterans","Organizing and equipping the militia, army, and navy, fortifications and armament, readiness in peacetime, and the care and honoring of veterans and service members.",8
llm:Early Naval Wars: Barbary & the War of 1812,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,War & Military Affairs,Early Naval Wars: Barbary & the War of 1812,Early Naval Wars: Barbary & the War of 1812,"Naval operations against the Barbary powers and the conduct of the War of 1812 with Britain, including maritime independence and honorable peace.",9
llm:Mexican War,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,War & Military Affairs,Mexican War,Mexican War,"The military conflict with Mexico, its justification through claims and annexation, and the conduct and settlement of the war.",10
llm:World War I Mobilization & War Aims,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,War & Military Affairs,World War I Mobilization & War Aims,World War I Mobilization & War Aims,"America's entry into the European war, the draft and supply machinery, and the assertion of unselfish national ideals and purposes.",11
llm:World War II Military Operations,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,War & Military Affairs,World War II Military Operations,World War II Military Operations,"Reports on the progress of the Second World War, battles in the Pacific and Europe, casualties, and the strategy of defeating Germany and Japan.",12
llm:Vietnam War,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,War & Military Affairs,Vietnam War,Vietnam War,"Justification of U.S. involvement in South Vietnam, war conduct and troop levels, prisoners, and the search for a negotiated peace.",13
"llm:Iraq, Gulf Wars, the War on Terror & Interventions",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,War & Military Affairs,"Iraq, Gulf Wars, the War on Terror & Interventions","Iraq, Gulf Wars, the War on Terror & Interventions","Confronting Iraqi aggression and terrorism, combating al Qaeda and weapons of mass destruction, and armed interventions and peacekeeping in trouble spots.",14
"llm:Coinage, Currency & Specie",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,"Money, Banking & Currency","Coinage, Currency & Specie","Coinage, Currency & Specie","The mint and coinage, gold and silver, specie versus paper money, the gold standard, and the free-silver and specie-resumption debates.",15
llm:National Bank & Banking Crises,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,"Money, Banking & Currency",National Bank & Banking Crises,National Bank & Banking Crises,"Controversies over a national bank, deposit of public revenues, bank regulation, protection of deposits, and financial panics and revulsions.",16
"llm:Tariffs, Reciprocity & Navigation Laws",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,"Trade, Commerce & Tariffs","Tariffs, Reciprocity & Navigation Laws","Tariffs, Reciprocity & Navigation Laws","Import duties and protective tariffs, reciprocal trade and navigation treaties, tonnage, and disputes over trade practices with foreign rivals.",17
"llm:Trusts, Corporations & Antitrust",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,"Trade, Commerce & Tariffs","Trusts, Corporations & Antitrust","Trusts, Corporations & Antitrust",Concern over concentrated corporate wealth and monopoly and proposals for federal supervision or regulation of interstate business.,18
"llm:Public Debt, Revenue & Treasury Finance",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Public Finance & Taxation,"Public Debt, Revenue & Treasury Finance","Public Debt, Revenue & Treasury Finance","Receipts and expenditures, reduction of the national debt, surplus revenue, and the general fiscal condition of the Treasury.",19
"llm:Taxes, Budget Deficits & Federal Spending",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Public Finance & Taxation,"Taxes, Budget Deficits & Federal Spending","Taxes, Budget Deficits & Federal Spending","Modern fiscal debates over tax cuts and incentives, budget deficits and inflation, spending controls, and balancing the budget.",20
llm:Great Depression Recovery,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,"Economy, Labor & Social Welfare",Great Depression Recovery,Great Depression Recovery,"Federal and voluntary responses to the economic collapse of the 1930s, including relief, public works, and recovery measures.",21
"llm:Labor, Wages & Working Conditions",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,"Economy, Labor & Social Welfare","Labor, Wages & Working Conditions","Labor, Wages & Working Conditions","Relations between labor and capital, the right to organize, wages and labor legislation, child labor, and urban tenement and social-welfare reform.",22
"llm:Welfare, Poverty & Economic Opportunity",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,"Economy, Labor & Social Welfare","Welfare, Poverty & Economic Opportunity","Welfare, Poverty & Economic Opportunity","Anti-poverty programs, welfare reform to reward work, the minimum wage, and helping families toward self-sufficiency.",23
"llm:Health Care, Medicare & Social Security",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,"Economy, Labor & Social Welfare","Health Care, Medicare & Social Security","Health Care, Medicare & Social Security","Health insurance coverage and costs, Medicare and drug coverage, and the Social Security old-age system.",24
"llm:Prosperity, Jobs & the Middle Class",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,"Economy, Labor & Social Welfare","Prosperity, Jobs & the Middle Class","Prosperity, Jobs & the Middle Class","Assessment of the nation's economic condition and appeals about jobs, growth, and security for working and middle-class families.",25
llm:Public Lands & Homestead Settlement,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,"Agriculture, Land & Environment",Public Lands & Homestead Settlement,Public Lands & Homestead Settlement,"Survey, sale, pricing, preemption, and distribution of public lands, protection of settlers, and operation of the homestead system.",26
llm:Agriculture & Farm Prices,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,"Agriculture, Land & Environment",Agriculture & Farm Prices,Agriculture & Farm Prices,"Development of farming, agricultural research and markets, farm credit and cooperatives, and the economic condition of farmers.",27
llm:Conservation & the Environment,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,"Agriculture, Land & Environment",Conservation & the Environment,Conservation & the Environment,"Conservation of forests, water power, and public resources and later programs to clean the nation's air and water and preserve parklands.",28
"llm:Internal Improvements, Energy & Infrastructure",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Infrastructure & Internal Improvements,"Internal Improvements, Energy & Infrastructure","Internal Improvements, Energy & Infrastructure","Federal support for roads, canals, harbors, energy production and pipelines, and rebuilding the nation's infrastructure, including constitutional debate over such works.",29
llm:Space Exploration,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Infrastructure & Internal Improvements,Space Exploration,Space Exploration,"The race to lead in space, the drive to reach the moon, and investment in rockets and satellites in competition with the Soviets.",30
"llm:Slavery, Emancipation & Sectionalism",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Civil Rights & Immigration,"Slavery, Emancipation & Sectionalism","Slavery, Emancipation & Sectionalism","Disputes over slavery in the territories and sectional compromise, and the emancipation, colonization, and new civil status of the freedmen.",31
llm:Reconstruction & Southern Self-Government,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Civil Rights & Immigration,Reconstruction & Southern Self-Government,Reconstruction & Southern Self-Government,"Pacification of the former Confederate states, restoration of local self-government, and protection of citizens' rights after the war.",32
llm:Chinese Immigration & Exclusion,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Civil Rights & Immigration,Chinese Immigration & Exclusion,Chinese Immigration & Exclusion,"The character of Chinese immigration and contract labor, registration and passport proposals, race prejudice, and mob violence against Chinese laborers.",33
"llm:Civil Rights, Voting Rights & Discrimination",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Civil Rights & Immigration,"Civil Rights, Voting Rights & Discrimination","Civil Rights, Voting Rights & Discrimination","Federal action to end racial denial of the vote and secure equal rights, combat discrimination, and include the disabled and minorities in American life.",34
llm:Immigration & Border Security,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Civil Rights & Immigration,Immigration & Border Security,Immigration & Border Security,"Welcoming or restricting immigrants, border walls and enforcement, deportation and detention, and framing immigration as a security concern.",35
"llm:Indian Affairs, Removal & Allotment",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Indian & Tribal Affairs,"Indian Affairs, Removal & Allotment","Indian Affairs, Removal & Allotment","Relations with Indian tribes: frontier hostilities and treaties, efforts to 'civilize' them, removal beyond the states, reservation policy, and allotment of lands in severalty.",36
"llm:Crime, Insurrection & Federal Law Enforcement",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,"Law, Crime & Justice","Crime, Insurrection & Federal Law Enforcement","Crime, Insurrection & Federal Law Enforcement","Suppression of domestic insurrection and combinations against federal law, and the administration of justice through courts, penitentiaries, and law-enforcement agencies.",37
llm:Polygamy in the Territories,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,"Law, Crime & Justice",Polygamy in the Territories,Polygamy in the Territories,"Legislation aimed at suppressing polygamy and bigamy in Utah and other Territories through marriage records, witness rules, and voting and office restrictions.",38
llm:Constitutional Union & Federalism,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Constitutional Order & Governance,Constitutional Union & Federalism,Constitutional Union & Federalism,"Reflections on the constitutional compact, the balance between state sovereignty and federal authority, secession, and preservation of the Union.",39
llm:Civil Service Reform & the Merit System,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Constitutional Order & Governance,Civil Service Reform & the Merit System,Civil Service Reform & the Merit System,"Competitive examinations, boards of examiners, merit-based appointment and promotion, and freeing offices from patronage.",40
"llm:Executive Power, Vetoes & the Courts",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Constitutional Order & Governance,"Executive Power, Vetoes & the Courts","Executive Power, Vetoes & the Courts","Assertions of presidential constitutional duties, the veto and removal powers, interbranch relations, and reform of the federal judiciary.",41
"llm:Territorial Organization, Statehood & Insular Governance",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Constitutional Order & Governance,"Territorial Organization, Statehood & Insular Governance","Territorial Organization, Statehood & Insular Governance","Establishing governments for new territories, fixing boundaries and admitting states, and administering overseas dependencies such as the Philippines, Cuba, and Puerto Rico.",42
llm:Elections & Voting Integrity,llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Constitutional Order & Governance,Elections & Voting Integrity,Elections & Voting Integrity,"Federal supervision of elections and enforcement laws, disputed vote-counting, and modern controversies over voting rights and ballot integrity.",43
"llm:Commemoration, Eulogy & National Mourning",llm,Exploratory AI paragraph labels,Detailed topics · AI labels,Ceremonial & Commemorative Address,"Commemoration, Eulogy & National Mourning","Commemoration, Eulogy & National Mourning","Ceremonial tributes to founders and heroes, eulogies for departed statesmen, anniversary commemorations, and consoling the nation in mourning.",44
